ROM loaded successfully. size of ROM is 1301 bytes.
---LOG START---
IR: JP 225 | I: 0x000 | SP: 0 | V: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: LD V0, 00 | I: 0x000 | SP: 0 | V: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: LD V1, 00 | I: 0x000 | SP: 0 | V: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: LD V2, 08 | I: 0x000 | SP: 0 | V: 00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: LD I, 3DD | I: 0x3DD | SP: 0 | V: 00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x3DD | SP: 0 | V: 00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x3DD | SP: 0 | V: 00 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x3E5 | SP: 0 | V: 00 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x3E5 | SP: 0 | V: 00 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x3E5 | SP: 0 | V: 00 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x3E5 | SP: 0 | V: 00 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x3E5 | SP: 0 | V: 00 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x3ED | SP: 0 | V: 00 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x3ED | SP: 0 | V: 00 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x3ED | SP: 0 | V: 00 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x3ED | SP: 0 | V: 00 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x3ED | SP: 0 | V: 00 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x3F5 | SP: 0 | V: 00 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x3F5 | SP: 0 | V: 00 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x3F5 | SP: 0 | V: 00 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x3F5 | SP: 0 | V: 00 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x3F5 | SP: 0 | V: 00 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x3FD | SP: 0 | V: 00 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x3FD | SP: 0 | V: 00 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V0, 08 | I: 0x3FD | SP: 0 | V: 08 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: LD V1, 00 | I: 0x3FD | SP: 0 | V: 08 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V0, 40 | I: 0x3FD | SP: 0 | V: 08 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x3FD | SP: 0 | V: 08 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x3FD | SP: 0 | V: 08 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x3FD | SP: 0 | V: 08 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x405 | SP: 0 | V: 08 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x405 | SP: 0 | V: 08 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
